feature,importance
overall_height,0.5024725403942342
roof_area,0.2470690490129533
glazing_area,0.08470945163178094
relative_compactness,0.05587754654844811
surface_area,0.054386859758358566
wall_area,0.049308848702200765
glazing_distribution,0.005920610256171813
orientation,0.0002550936958523258
